[2018-01-24 13:53:51,961] - logger.py] - INFO: 开始登录
[2018-01-24 13:53:52,167] - logger.py] - INFO: 调用入金设置交易金额接口
[2018-01-24 13:54:39,073] - logger.py] - INFO: 开始登录
[2018-01-24 13:54:39,216] - logger.py] - INFO: 调用入金设置交易金额接口
[2018-01-24 13:57:00,009] - logger.py] - INFO: 开始登录
[2018-01-24 13:57:00,137] - logger.py] - INFO: 调用入金设置交易金额接口
[2018-01-24 14:50:03,068] - logger.py] - INFO: 开始登录
[2018-01-24 14:50:03,230] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 14:50:03,470] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 14:50:03,476] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 14:50:58,118] - logger.py] - INFO: 开始登录
[2018-01-24 14:50:58,270] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 14:50:58,405] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 14:50:58,414] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 14:51:35,388] - logger.py] - INFO: 开始登录
[2018-01-24 14:51:35,551] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 14:51:35,642] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 14:51:35,653] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 14:52:03,976] - logger.py] - INFO: 开始登录
[2018-01-24 14:52:04,117] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 14:52:04,203] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 14:52:04,211] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 14:52:06,430] - logger.py] - INFO: ---调用入金设置交易金额接口结束---
[2018-01-24 14:54:00,618] - logger.py] - INFO: 开始登录
[2018-01-24 14:54:00,971] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 14:54:01,519] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 14:54:01,525] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 14:54:04,269] - logger.py] - INFO: ---调用入金设置交易金额接口结束---
[2018-01-24 14:54:04,276] - logger.py] - INFO: ---下一步输入交易密码开始---
[2018-01-24 14:54:51,280] - logger.py] - INFO: 开始登录
[2018-01-24 14:54:51,420] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 14:54:51,542] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 14:54:51,546] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 14:54:54,506] - logger.py] - INFO: ---调用入金设置交易金额接口结束---
[2018-01-24 14:54:54,513] - logger.py] - INFO: ---下一步输入交易密码开始---
[2018-01-24 14:54:57,036] - logger.py] - INFO: ---入金成功返回结果---
[2018-01-24 15:14:51,834] - logger.py] - INFO: 开始登录
[2018-01-24 15:14:52,009] - logger.py] - INFO: -----调用资金划拨卡片查询接口开始-----
[2018-01-24 15:14:52,098] - logger.py] - INFO: -----调用资金划拨卡片查询接口结束，获取绑卡id----
[2018-01-24 15:14:52,105] - logger.py] - INFO: ---调用入金设置交易金额接口开始---
[2018-01-24 15:14:54,380] - logger.py] - INFO: ---调用入金设置交易金额接口结束---
[2018-01-24 15:14:54,392] - logger.py] - INFO: ---下一步输入交易密码开始---
[2018-01-24 15:14:56,529] - logger.py] - INFO: ---入金成功返回结果---
